round_no,date,round_type,invitations,min_score,tie_break,ingested_at
"398","2026-02-20","Healthcare and Social Services Occupations, 2026-Version 3","4000","467","December 09, 2025 at 18:22:06 UTC","2026-09-25T00:20:35Z"
"397","2026-02-19","Physicians with Canadian Work Experience, 2026-Version 1","391","169","January 03, 2026 at 03:25:14 UTC","2026-09-25T00:20:35Z"
"396","2026-02-17","Canadian Experience Class","6000","508","March 16, 2025 at 09:35:59 UTC","2026-09-25T00:20:35Z"
"395","2026-02-16","Provincial Nominee Program","279","789","September 05, 2025 at 0:59:13 UTC","2026-09-25T00:20:35Z"
"394","2026-02-06","French-Language proficiency 2026-Version 2","8500","400","February 03, 2026 at 11:11:44 UTC","2026-09-25T00:20:35Z"
"393","2026-02-03","Provincial Nominee Program","423","749","December 16, 2025 at 22:30:36 UTC","2026-09-25T00:20:35Z"
"392","2026-01-21","Canadian Experience Class","6000","509","October 29, 2025 at 04:35:24 UTC","2026-09-25T00:20:35Z"
"391","2026-01-20","Provincial Nominee Program","681","746","November 19, 2025 at 04:09:11 UTC","2026-09-25T00:20:35Z"
"390","2026-01-07","Canadian Experience Class","8000","511","June 10, 2025 at 15:59:25 UTC","2026-09-25T00:20:35Z"
"389","2026-01-05","Provincial Nominee Program","574","711","October 06, 2025 at 01:54:31 UTC","2026-09-25T00:20:35Z"
"388","2025-12-17","French language proficiency (Version 1)","6000","399","August 24, 2025 at 23:43:05 UTC","2026-09-25T00:20:35Z"
"387","2025-12-16","Canadian Experience Class","5000","515","September 9, 2025 at 18:58:59 UTC","2026-09-25T00:20:35Z"
"386","2025-12-15","Provincial Nominee Program","399","731","October 18, 2025 at  7:18:52 UTC","2026-09-25T00:20:35Z"
"385","2025-12-11","Healthcare and social services occupations (Version 2)","1000","476","November 26, 2025 at 07:44:30 UTC","2026-09-25T00:20:35Z"
"384","2025-12-10","Canadian Experience Class","6000","520","July 15, 2025 at 17:30:33 UTC","2026-09-25T00:20:35Z"
"383","2025-12-08","Provincial Nominee Program","1123","729","March 05, 2025 at 05:10:48","2026-09-25T00:20:35Z"
"382","2025-11-28","French language proficiency (Version 1)","6000","408","May 26 2025 at 12:28:38 UTC","2026-09-25T00:20:35Z"
"381","2025-11-26","Canadian Experience Class","1000","531","October 08, 2025 at 19:02:26 UTC","2026-09-25T00:20:35Z"
"380","2025-11-25","Provincial Nominee Program","777","699","September 06, 2025 at 01:16:22 UTC","2026-09-25T00:20:35Z"
"379","2025-11-14","Healthcare and social services occupations (Version 2)","3500","462","December 02, 2024 at 22:19:41 UTC","2026-09-25T00:20:35Z"
"378","2025-11-12","Canadian Experience Class","1000","533","October 17, 2025 at 03:39:05 UTC","2026-09-25T00:20:35Z"
"377","2025-11-10","Provincial Nominee Program","714","738","February 22, 2025 at 2:12:01 UTC","2026-09-25T00:20:35Z"
"376","2025-10-29","French language proficiency (Version 1)","6000","416","September 8, 2025 at 15:27:09 UTC","2026-09-25T00:20:35Z"
"375","2025-10-28","Canadian Experience Class","1000","533","March 21, 2025 at 04:16:27 UTC","2026-09-25T00:20:35Z"
"374","2025-10-27","Provincial Nominee Program","302","761","September 26, 2025 at 02:14:06 UTC","2026-09-25T00:20:35Z"
"373","2025-10-15","Healthcare and social services occupations (Version 2)","2500","472","May 12, 2025 at 23:17:30 UTC","2026-09-25T00:20:35Z"
"372","2025-10-14","Provincial Nominee Program","345","778","July 17, 2025 at 19:58:49 UTC","2026-09-25T00:20:35Z"
"371","2025-10-06","French language proficiency (Version 1)","4500","432","June 13, 2025 at 19:07:01 UTC","2026-09-25T00:20:35Z"
"370","2025-10-01","Canadian Experience Class","1000","534","February 21, 2025 at 04:01:57 UTC","2026-09-25T00:20:35Z"
"369","2025-09-29","Provincial Nominee Program","291","855","April 08, 2025 at 01:25:29 UTC","2026-09-25T00:20:35Z"
"368","2025-09-18","Trade occupations (Version 2)","1250","505","November 05, 2024 at 22:36:09 UTC","2026-09-25T00:20:35Z"
"367","2025-09-17","Education occupations (Version 1)","2500","462","July 09, 2025 at 04:24:19 UTC","2026-09-25T00:20:35Z"
"366","2025-09-15","Provincial Nominee Program","228","746","March 31, 2025 at 13:39:06 UTC","2026-09-25T00:20:35Z"
"365","2025-09-04","French language proficiency (Version 1)","4500","446","June 16, 2025 at 07:21:06 UTC","2026-09-25T00:20:35Z"
"364","2025-09-03","Canadian Experience Class","1000","534","August 14, 2025 at 08:28:38 UTC","2026-09-25T00:20:35Z"
"363","2025-09-02","Provincial Nominee Program","249","772","August 28, 2025 at 19:19:18 UTC","2026-09-25T00:20:35Z"
"362","2025-08-19","Healthcare and social services occupations (Version 2)","2500","470","April 23, 2025 at 20:08:53 UTC","2026-09-25T00:20:35Z"
"361","2025-08-18","Provincial Nominee Program","192","800","February 11, 2025 at 19:17:09 UTC","2026-09-25T00:20:35Z"
"360","2025-08-08","French language proficiency (Version 1)","2500","481","July 18, 2025 at 05:16:06 UTC","2026-09-25T00:20:35Z"
"359","2025-08-07","Canadian Experience Class","1000","534","August 03, 2025 at 06:22:02 UTC","2026-09-25T00:20:35Z"
"358","2025-08-06","Provincial Nominee Program","225","739","April 23, 2025 at 06:35:51 UTC","2026-09-25T00:20:35Z"
"357","2025-07-22","Healthcare and social services occupations (Version 2)","4000","475","March 13, 2025 at 13:08:29 UTC","2026-09-25T00:20:35Z"
"356","2025-07-21","Provincial Nominee Program","202","788","June 05, 2025 at 23:50:45 UTC","2026-09-25T00:20:35Z"
"355","2025-07-08","Canadian Experience Class","3000","518","October 02, 2024 at 1:48:36 UTC","2026-09-25T00:20:35Z"
"354","2025-07-07","Provincial Nominee Program","356","750","March 19, 2025 at 04:09:09 UTC","2026-09-25T00:20:35Z"
"353","2025-06-26","Canadian Experience Class","3000","521","November 21, 2024 at 15:56:13 UTC","2026-09-25T00:20:35Z"
"352","2025-06-23","Provincial Nominee Program","503","742","May 30, 2025 at 21:44:57 UTC","2026-09-25T00:20:35Z"
"351","2025-06-12","Canadian Experience Class","3000","529","September 28, 2024 at 18:06:46 UTC","2026-09-25T00:20:35Z"
"350","2025-06-10","Provincial Nominee Program","125","784","September 12, 2024 at 18:12:15 UTC","2026-09-25T00:20:35Z"
"349","2025-06-04","Healthcare and social services occupations (Version 2)","500","504","March 31, 2025 at 06:47:23 UTC","2026-09-25T00:20:35Z"
"348","2025-06-02","Provincial Nominee Program","277","726","September 24, 2024 at 15:46:19 UTC","2026-09-25T00:20:35Z"
"347","2025-05-13","Canadian Experience Class","500","547","May 21, 2024 at 17:26:27 UTC","2026-09-25T00:20:35Z"
"346","2025-05-12","Provincial Nominee Program","511","706","March 04, 2025 at 22:35:42 UTC","2026-09-25T00:20:35Z"
"345","2025-05-02","Healthcare and social services occupations (Version 2)","500","510","July 21, 2024 at 04:31:17 UTC","2026-09-25T00:20:35Z"
"344","2025-05-01","Education occupations (Version 1)","1000","479","August 10, 2024 at 10:35:55 UTC","2026-09-25T00:20:35Z"
"343","2025-04-28","Provincial Nominee Program","421","727","September 09, 2024 at 17:11:19 UTC","2026-09-25T00:20:35Z"
"342","2025-04-14","Provincial Nominee Program","825","764","August 17, 2024 at 18:35:52 UTC","2026-09-25T00:20:35Z"
"341","2025-03-21","French language proficiency (Version 1)","7500","379","March 06, 2025 at 02:53:27 UTC","2026-09-25T00:20:35Z"
"340","2025-03-17","Provincial Nominee Program","536","736","March 12, 2025 at 14:02:14 UTC","2026-09-25T00:20:35Z"
"339","2025-03-06","French language proficiency (Version 1)","4500","410","February 11, 2025 at 07:47:29 UTC","2026-09-25T00:20:35Z"
"338","2025-03-03","Provincial Nominee Program","725","667","June 05, 2024 at 18:25:22 UTC","2026-09-25T00:20:35Z"
"337","2025-02-19","French language proficiency (Version 1)","6500","428","February 10, 2025 at 16:41:38 UTC","2026-09-25T00:20:35Z"
"336","2025-02-17","Provincial Nominee Program","646","750","July 23, 2024 at 17:41:11 UTC","2026-09-25T00:20:35Z"
"335","2025-02-05","Canadian Experience Class","4000","521","November 14, 2024 at 02:52:14 UTC","2026-09-25T00:20:35Z"
"334","2025-02-04","Provincial Nominee Program","455","802","December 07, 2024 at 19:39:25 UTC","2026-09-25T00:20:35Z"
"333","2025-01-23","Canadian Experience Class","4000","527","July 23, 2024 at 07:06:43 UTC","2026-09-25T00:20:35Z"
"332","2025-01-08","Canadian Experience Class","1350","542","December 07, 2024 at 01:10:06 UTC","2026-09-25T00:20:35Z"
"331","2025-01-07","Provincial Nominee Program","471","793","November 25, 2024 at 16:57:27 UTC","2026-09-25T00:20:35Z"
"330","2024-12-16","Provincial Nominee Program","1085","727","September 18, 2024 at 13:39:10 UTC","2026-09-25T00:20:35Z"
"329","2024-12-03","French language proficiency (Version 1)","800","466","November 26, 2024 at 02:44:59 UTC","2026-09-25T00:20:35Z"
"328","2024-12-02","Provincial Nominee Program","676","705","November 27, 2024 at 18:15:17 UTC","2026-09-25T00:20:35Z"
"327","2024-11-20","Healthcare occupations (Version 1)","3000","463","October 21, 2024 at 16:12:39 UTC","2026-09-25T00:20:35Z"
"326","2024-11-19","Canadian Experience Class","400","539","July 08, 2024 at 01:41:37 UTC","2026-09-25T00:20:35Z"
"325","2024-11-18","Provincial Nominee Program","174","816","August 28, 2024 at 05:12:34 UTC","2026-09-25T00:20:35Z"
"324","2024-11-15","French language proficiency (Version 1)","800","478","November 07, 2024 at 13:12:03 UTC","2026-09-25T00:20:35Z"
"323","2024-11-13","Canadian Experience Class","400","547","April 10, 2024 at 03:58:05 UTC","2026-09-25T00:20:35Z"
"322","2024-11-12","Provincial Nominee Program","733","812","March 02. 2024 at 01:58:34 UTC","2026-09-25T00:20:35Z"
"321","2024-10-23","Trade occupations (Version 1)","1800","433","March 12, 2024 at 14:30:36 UTC","2026-09-25T00:20:35Z"
"320","2024-10-22","Canadian Experience Class","400","539","October 19, 2024 at 21:53:18 UTC","2026-09-25T00:20:35Z"
"319","2024-10-21","Provincial Nominee Program","648","791","August 13, 2024 at 20:04:52 UTC","2026-09-25T00:20:35Z"
"318","2024-10-10","French language proficiency (Version 1)","1000","444","September 27, 2024 at 18:56:32 UTC","2026-09-25T00:20:35Z"
"317","2024-10-09","Canadian Experience Class","500","539","February 20, 2024 at 02:57:40 UTC","2026-09-25T00:20:35Z"
"316","2024-10-07","Provincial Nominee Program","1613","743","March 22, 2024 at 18:36:54 UTC","2026-09-25T00:20:35Z"
"315","2024-09-19","Canadian Experience Class","4000","509","November 06, 2023 at 20:17:35 UTC","2026-09-25T00:20:35Z"
"314","2024-09-13","French language proficiency (Version 1)","1000","446","August 28, 2024 at 17:07:19 UTC","2026-09-25T00:20:35Z"
"313","2024-09-09","Provincial Nominee Program","911","732","March 13, 2024 at 19:56:16 UTC","2026-09-25T00:20:35Z"
"312","2024-08-27","Canadian Experience Class","3300","507","April 17, 2024 at 20:11:20 UTC","2026-09-25T00:20:35Z"
"311","2024-08-26","Provincial Nominee Program","1121","694","August 03, 2024 at 18:54:27 UTC","2026-09-25T00:20:35Z"
"310","2024-08-15","French language proficiency (Version 1)","2000","394","July 07, 2024 at 09:46:10 UTC","2026-09-25T00:20:35Z"
"309","2024-08-14","Canadian Experience Class","3200","509","March 01, 2024 at 19:23:21 UTC","2026-09-25T00:20:35Z"
"308","2024-08-13","Provincial Nominee Program","763","690","April 26, 2024 at 10:59:30 UTC","2026-09-25T00:20:35Z"
"307","2024-07-31","Canadian Experience Class","5000","510","June 30, 2024 at 20:39:14 UTC","2026-09-25T00:20:35Z"
"306","2024-07-30","Provincial Nominee Program","964","686","May 27, 2024 at 07:07:21 UTC","2026-09-25T00:20:35Z"
"305","2024-07-18","French language proficiency (Version 1)","1800","400","March 08, 2024 at 19:51:40 UTC","2026-09-25T00:20:35Z"
"304","2024-07-17","Canadian Experience Class","6300","515","February 03, 2024 at 13:01:06 UTC","2026-09-25T00:20:35Z"
"303","2024-07-16","Provincial Nominee Program","1391","670","May 04, 2024 at 13:27:31 UTC","2026-09-25T00:20:35Z"
"302","2024-07-08","French language proficiency (Version 1)","3200","420","May 30, 2024 at 03:37:43 UTC","2026-09-25T00:20:35Z"
"301","2024-07-05","Healthcare occupations (Version 1)","3750","445","May 07, 2024 at 21:27:04 UTC","2026-09-25T00:20:35Z"
"300","2024-07-04","Trade occupations (Version 1)","1800","436","July 16, 2023 at 15:44:59 UTC","2026-09-25T00:20:35Z"
"299","2024-07-02","Provincial Nominee Program","920","739","February 02, 2024 at 11:38:43 UTC","2026-09-25T00:20:35Z"
"298","2024-06-19","Provincial Nominee Program","1499","663","January 19, 2024 at 10:10:40 UTC","2026-09-25T00:20:35Z"
"297","2024-05-31","Canadian Experience Class","3000","522","March 19, 2024 at 18:58:58 UTC","2026-09-25T00:20:35Z"
"296","2024-05-30","Provincial Nominee Program","2985","676","January 19, 2024 at 18:32:21 UTC","2026-09-25T00:20:35Z"
"295","2024-04-24","French language proficiency (Version 1)","1400","410","April 07, 2024 at 02:06:46 UTC","2026-09-25T00:20:35Z"
"294","2024-04-23","General","2095","529","November 08, 2023 at 17:50:29 UTC","2026-09-25T00:20:35Z"
"293","2024-04-11","STEM occupations (Version 1)","4500","491","February 25, 2024 at 11:55:12 UTC","2026-09-25T00:20:35Z"
"292","2024-04-10","General","1280","549","March 21, 2024 at 03:37:24 UTC","2026-09-25T00:20:35Z"
"291","2024-03-26","French language proficiency (Version 1)","1500","388","March 10, 2024 at 20:06:26 UTC","2026-09-25T00:20:35Z"
"290","2024-03-25","General","1980","524","February 25, 2024 at 14:42:38 UTC","2026-09-25T00:20:35Z"
"289","2024-03-13","Transport occupations (Version 1)","975","430","July 31, 2023 at 13:27:26 UTC","2026-09-25T00:20:35Z"
"288","2024-03-12","General","2850","525","November 01, 2023 at 17:08:51 UTC","2026-09-25T00:20:35Z"
"287","2024-02-29","French language proficiency (Version 1)","2500","336","January 18, 2024 at 09:15:46 UTC","2026-09-25T00:20:35Z"
"286","2024-02-28","General","1470","534","January 16, 2024 at 03:51:05 UTC","2026-09-25T00:20:35Z"
"285","2024-02-16","Agriculture and agri-food occupations (Version 1)","150","437","January 29, 2024 at 03:32:58 UTC","2026-09-25T00:20:35Z"
"284","2024-02-14","Healthcare occupations (Version 1)","3500","422","January 30, 2024 at 02:39:54 UTC","2026-09-25T00:20:35Z"
"283","2024-02-13","General","1490","535","February 11, 2024 at 15:26:56 UTC","2026-09-25T00:20:35Z"
"282","2024-02-01","French language proficiency (Version 1)","7000","365","September 08, 2023 at 09:47:27 UTC","2026-09-25T00:20:35Z"
"281","2024-01-31","General","730","541","July 15, 2023 at 10:52:08 UTC","2026-09-25T00:20:35Z"
"280","2024-01-23","General","1040","543","January 21, 2024 at 07:43:47 UTC","2026-09-25T00:20:35Z"
"279","2024-01-10","General","1510","546","December 31, 2023 at 18:23:22 UTC","2026-09-25T00:20:35Z"
"278","2023-12-21","Agriculture and agri-food occupations (Version 1)","400","386","July 06, 2023 at 05:44:14 UTC","2026-09-25T00:20:35Z"
"277","2023-12-20","Transport occupations (Version 1)","670","435","August 30. 2023 at 17:30:21 UTC","2026-09-25T00:20:35Z"
"276","2023-12-19","Trade occupations (Version 1)","1000","425","November 04, 2023 at 11:16:58 UTC","2026-09-25T00:20:35Z"
"275","2023-12-18","General","1325","542","November 06, 2023 at 14:40:23 UTC","2026-09-25T00:20:35Z"
"274","2023-12-08","STEM occupations (Version 1)","5900","481","September 07, 2023 at 09:24:49 UTC","2026-09-25T00:20:35Z"
"273","2023-12-07","French language proficiency (Version 1)","1000","470","October 03, 2023 at 04:45:27 UTC","2026-09-25T00:20:35Z"
"272","2023-12-06","General","4750","561","November 08, 2023 at 06:00:13 UTC","2026-09-25T00:20:35Z"
"271","2023-10-26","Healthcare occupations (Version 1)","3600","431","May 24, 2023 at 19:47:51 UTC","2026-09-25T00:20:35Z"
"270","2023-10-25","French language proficiency (Version 1)","300","486","September 30, 2023 at 04:22:17 AM UTC","2026-09-25T00:20:35Z"
"269","2023-10-24","Provincial Nominee Program","1548","776","July 07, 2023 at 07:28:57 UTC","2026-09-25T00:20:35Z"
"268","2023-10-10","No Program Specified","3725","500","October 02, 2023 at 15:25:30 UTC","2026-09-25T00:20:35Z"
"267","2023-09-28","Agriculture and agri-food occupations (Version 1)","600","354","June 12, 2023 at 10:23:21 UTC","2026-09-25T00:20:35Z"
"266","2023-09-27","French language proficiency (Version 1)","500","472","August 16, 2023 at 09:00:14 UTC","2026-09-25T00:20:35Z"
"265","2023-09-26","No Program Specified","3000","504","September 11, 2023 at 20:24:18 UTC","2026-09-25T00:20:35Z"
"264","2023-09-20","Transport occupations (Version 1)","1000","435","June 17, 2023 at 06:44:01 UTC","2026-09-25T00:20:35Z"
"263","2023-09-19","No Program Specified","3200","531","September 12, 2023 at 12:16:31 UTC","2026-09-25T00:20:35Z"
"262","2023-08-15","No Program Specified","4300","496","July 04, 2023 at 19:36:18 UTC ","2026-09-25T00:20:35Z"
"261","2023-08-03","Trade occupations (Version 1)","1500","388","June 07, 2023 at 07:03:08 UTC","2026-09-25T00:20:35Z"
"260","2023-08-02","French language proficiency (Version 1)","800","435","July 31, 2023 at 09:57:30 UTC","2026-09-25T00:20:35Z"
"259","2023-08-01","No Program Specified","2000","517","June 30, 2023 at 11:45:05 UTC","2026-09-25T00:20:35Z"
"258","2023-07-12","French language proficiency (Version 1)","3800","375","June 15, 2023 at 23:49:05","2026-09-25T00:20:35Z"
"257","2023-07-11","No Program Specified","800","505","October 01, 2022 at 06:13:05 UTC","2026-09-25T00:20:35Z"
"256","2023-07-07","French language proficiency (Version 1)","2300","439","January 20, 2023 at 17:18:32 UTC","2026-09-25T00:20:35Z"
"255","2023-07-06","Healthcare occupations (Version 1)","1500","463","June 19, 2023 06:41:05 UTC","2026-09-25T00:20:35Z"
"254","2023-07-05","STEM occupations (Version 1)","500","486","November 23, 2022 00:01:29 UTC","2026-09-25T00:20:35Z"
"253","2023-07-04","No Program Specified","700","511","July 01, 2023 09:31:32 UTC","2026-09-25T00:20:35Z"
"252","2023-06-28","Healthcare occupations (Version 1)","500","476","November 12, 2022 12:47:27 UTC","2026-09-25T00:20:35Z"
"251","2023-06-27","No Program Specified","4300","486","June 21, 2023 00:57:04 UTC","2026-09-25T00:20:35Z"
"250","2023-06-08","No Program Specified","4800","486","May 19, 2023 14:04:00 UTC","2026-09-25T00:20:35Z"
"249","2023-05-24","No Program Specified","4800","488","December 26, 2022 01:12:48 UTC","2026-09-25T00:20:35Z"
"248","2023-05-10","Provincial Nominee Program","589","691","March 08, 2023 at 16:42:17 UTC","2026-09-25T00:20:35Z"
"247","2023-04-26","No Program Specified","3500","483","April 22, 2023 19:46:58 UTC","2026-09-25T00:20:35Z"
"246","2023-04-12","No Program Specified","3500","486","July 19, 2022 11:05:24 UTC","2026-09-25T00:20:35Z"
"245","2023-03-29","No Program Specified","7000","481","February 14, 2023 07:35:00 UTC","2026-09-25T00:20:35Z"
"244","2023-03-23","No Program Specified","7000","484","May 19,2022 06:48:41 UTC","2026-09-25T00:20:35Z"
"243","2023-03-15","No Program Specified","7000","490","February 16, 2023 10:33:06 UTC","2026-09-25T00:20:35Z"
"242","2023-03-01","Provincial Nominee Program","667","748","December 12, 2022, at 10:48:12 UTC","2026-09-25T00:20:35Z"
"241","2023-02-15","Provincial Nominee Program","699","791","February 08, 2023, at 18:09:01 UTC","2026-09-25T00:20:35Z"
"240","2023-02-02","Federal Skilled Worker","3300","489","March 29, 2022, at 16:09:00 UTC","2026-09-25T00:20:35Z"
"239","2023-02-01","Provincial Nominee Program","893","733","December 09, 2022, at 10:49:57 UTC","2026-09-25T00:20:35Z"
"238","2023-01-18","No Program Specified","5500","490","November 24, 2022 21:14:59 UTC","2026-09-25T00:20:35Z"
"237","2023-01-11","No Program Specified","5500","507","December 06, 2022 11:00:07 UTC","2026-09-25T00:20:35Z"
"236","2022-11-23","No Program Specified","4750","491","October 13, 2022 11:22:17 UTC","2026-09-25T00:20:35Z"
"235","2022-11-09","No Program Specified","4750","494","June 06, 2022 20:48:23 UTC","2026-09-25T00:20:35Z"
"234","2022-10-26","No Program Specified","4750","496","May 09, 2022 09:04:20 UTC","2026-09-25T00:20:35Z"
"233","2022-10-12","No Program Specified","4250","500","October 10, 2022 17:10:53 UTC","2026-09-25T00:20:35Z"
"232","2022-09-28","No Program Specified","3750","504","May 02, 2022 at 17:17:32 UTC","2026-09-25T00:20:35Z"
"231","2022-09-14","No Program Specified","3250","510","January 08, 2022 at 10:24:52 UTC","2026-09-25T00:20:35Z"
"230","2022-08-31","No Program Specified","2750","516","April 16, 2022 at 18:24:41 UTC","2026-09-25T00:20:35Z"
"229","2022-08-17","No Program Specified","2250","525","December 28, 2021 at 11:03:15 UTC","2026-09-25T00:20:35Z"
"228","2022-08-03","No Program Specified","2000","533","January 06, 2022 at 14:29:50 UTC","2026-09-25T00:20:35Z"
"227","2022-07-20","No Program Specified","1750","542","December 30, 2021 at 15:29:35 UTC","2026-09-25T00:20:35Z"
"226","2022-07-06","No Program Specified","1500","557","November 13, 2021 at 02:20:46 UTC","2026-09-25T00:20:35Z"
"225","2022-06-22","Provincial Nominee Program","636","752","April 19, 2022 at 13:45:45 UTC","2026-09-25T00:20:35Z"
"224","2022-06-08","Provincial Nominee Program","932","796","October 18, 2021 at 17:13:17 UTC","2026-09-25T00:20:35Z"
"223","2022-05-25","Provincial Nominee Program","590","741","February 02, 2022 at 12:29:53 UTC","2026-09-25T00:20:35Z"
"222","2022-05-11","Provincial Nominee Program","545","753","December 15, 2021 at 20:32:57 UTC","2026-09-25T00:20:35Z"
"221","2022-04-27","Provincial Nominee Program","829","772","March 24, 2022 at 8:00:50 UTC","2026-09-25T00:20:35Z"
